6.7590 	EXP 	slider: markerPos = 1.985
6.7654 	EXP 	slider: markerPos = 1.985
6.7752 	EXP 	slider: markerPos = 1.985
6.7813 	EXP 	slider: markerPos = 1.985
6.7918 	EXP 	slider: markerPos = 1.985
6.7979 	EXP 	slider: markerPos = 1.985
6.8086 	EXP 	slider: markerPos = 1.985
6.8147 	EXP 	slider: markerPos = 1.985
6.8252 	EXP 	slider: markerPos = 1.985
6.8314 	EXP 	slider: markerPos = 1.985
6.8418 	EXP 	slider: markerPos = 1.985
6.8480 	EXP 	slider: markerPos = 1.985
6.8586 	EXP 	slider: markerPos = 1.985
6.8647 	EXP 	slider: markerPos = 1.985
6.8753 	EXP 	slider: markerPos = 1.985
6.8795 	DATA 	Mouse:  Left button up, pos=(297,164)
6.8817 	EXP 	slider: markerPos = 1.985
6.8919 	EXP 	slider: markerPos = 1.985
6.8924 	EXP 	New trial (rep=0, index=10): <Trial 10 (10 in rep 0) data={'study_word': 'Poster', 'thisN': 10, 'thisTrialN': 10, 'thisRepN': 0}>
6.9000 	EXP 	text: autoDraw = False
6.9000 	EXP 	slider: autoDraw = False
6.9000 	EXP 	text: height = 0.05
6.9000 	EXP 	text: height = 0.05
6.9000 	EXP 	text: height = 0.05
6.9000 	EXP 	text: text = 'Poster'
6.9000 	EXP 	slider: markerPos = None
6.9000 	EXP 	slider: markerPos = None
6.9000 	EXP 	text: autoDraw = True
6.9000 	EXP 	slider: autoDraw = True
7.1432 	DATA 	Mouse: Left button down, pos=(297,164)
7.1504 	EXP 	slider: markerPos = 1.985
7.1583 	EXP 	slider: markerPos = 1.985
7.1652 	EXP 	slider: markerPos = 1.985
7.1758 	EXP 	slider: markerPos = 1.985
7.1825 	EXP 	slider: markerPos = 1.985
7.1928 	EXP 	slider: markerPos = 1.985
7.1996 	EXP 	slider: markerPos = 1.985
7.2088 	EXP 	slider: markerPos = 1.985
7.2151 	EXP 	slider: markerPos = 1.985
7.2253 	EXP 	slider: markerPos = 1.985
7.2314 	EXP 	slider: markerPos = 1.985
7.2419 	EXP 	slider: markerPos = 1.985
7.2483 	EXP 	slider: markerPos = 1.985
7.2585 	EXP 	slider: markerPos = 1.985
7.2649 	EXP 	slider: markerPos = 1.985
7.2753 	EXP 	slider: markerPos = 1.985
7.2814 	EXP 	slider: markerPos = 1.985
7.2920 	EXP 	slider: markerPos = 1.985
7.2982 	EXP 	slider: markerPos = 1.985
7.3087 	EXP 	slider: markerPos = 1.985
7.3148 	EXP 	slider: markerPos = 1.985
7.3252 	EXP 	slider: markerPos = 1.985
7.3314 	EXP 	slider: markerPos = 1.985
7.3420 	EXP 	slider: markerPos = 1.985
7.3461 	DATA 	Mouse:  Left button up, pos=(297,164)
7.3485 	EXP 	slider: markerPos = 1.985
7.3586 	EXP 	slider: markerPos = 1.985
7.3592 	EXP 	New trial (rep=0, index=11): <Trial 11 (11 in rep 0) data={'study_word': 'T-shirt', 'thisN': 11, 'thisTrialN': 11, 'thisRepN': 0}>
7.3682 	EXP 	text: autoDraw = False
7.3682 	EXP 	slider: autoDraw = False
7.3682 	EXP 	text: height = 0.05
7.3682 	EXP 	text: height = 0.05
7.3682 	EXP 	text: height = 0.05
7.3682 	EXP 	text: text = 'T-shirt'
7.3682 	EXP 	slider: markerPos = None
7.3682 	EXP 	slider: markerPos = None
7.3682 	EXP 	text: autoDraw = True
7.3682 	EXP 	slider: autoDraw = True
7.7295 	DATA 	Mouse: Left button down, pos=(297,164)
7.7424 	EXP 	slider: markerPos = 1.985
7.7492 	EXP 	slider: markerPos = 1.985
7.7592 	EXP 	slider: markerPos = 1.985
7.7660 	EXP 	slider: markerPos = 1.985
7.7759 	EXP 	slider: markerPos = 1.985
7.7824 	EXP 	slider: markerPos = 1.985
7.7920 	EXP 	slider: markerPos = 1.985
7.7984 	EXP 	slider: markerPos = 1.985
7.8085 	EXP 	slider: markerPos = 1.985
7.8148 	EXP 	slider: markerPos = 1.985
7.8253 	EXP 	slider: markerPos = 1.985
7.8315 	EXP 	slider: markerPos = 1.985
7.8420 	EXP 	slider: markerPos = 1.985
7.8482 	EXP 	slider: markerPos = 1.985
7.8586 	EXP 	slider: markerPos = 1.985
7.8647 	EXP 	slider: markerPos = 1.985
7.8753 	EXP 	slider: markerPos = 1.985
7.8813 	EXP 	slider: markerPos = 1.985
7.8817 	DATA 	Mouse:  Left button up, pos=(297,164)
7.8920 	EXP 	slider: markerPos = 1.985
7.8925 	EXP 	New trial (rep=0, index=12): <Trial 12 (12 in rep 0) data={'study_word': 'cushion', 'thisN': 12, 'thisTrialN': 12, 'thisRepN': 0}>
7.9002 	EXP 	text: autoDraw = False
7.9002 	EXP 	slider: autoDraw = False
7.9002 	EXP 	text: height = 0.05
7.9002 	EXP 	text: height = 0.05
7.9002 	EXP 	text: height = 0.05
7.9002 	EXP 	text: text = 'cushion'
7.9002 	EXP 	slider: markerPos = None
7.9002 	EXP 	slider: markerPos = None
7.9002 	EXP 	text: autoDraw = True
